"Step","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss__MIN","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss__MAX","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss__MIN","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss__MAX","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss__MIN","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss__MAX","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss__MIN","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss__MAX","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss__MIN","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss__MAX","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss__MIN","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss__MAX","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss__MIN","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss__MAX"
"0","3.0671","3.0671","3.0671","7.3267","7.3267","7.3267","2.9681","2.9681","2.9681","1.8037","1.8037","1.8037","3.2814","3.2814","3.2814","3.9239","3.9239","3.9239","1.4446","1.4446","1.4446","1.8669","1.8669","1.8669","2.2035","2.2035","2.2035","1.3656","1.3656","1.3656"
"1","0.8693","0.8693","0.8693","1.2143","1.2143","1.2143","0.7969","0.7969","0.7969","0.4544","0.4544","0.4544","0.434","0.434","0.434","0.4561","0.4561","0.4561","0.3822","0.3822","0.3822","0.814","0.814","0.814","0.927","0.927","0.927","0.8727","0.8727","0.8727"
"2","0.8308","0.8308","0.8308","1.1094","1.1094","1.1094","0.7858","0.7858","0.7858","0.4205","0.4205","0.4205","0.3904","0.3904","0.3904","0.4132","0.4132","0.4132","0.3635","0.3635","0.3635","0.7768","0.7768","0.7768","0.823","0.823","0.823","0.8395","0.8395","0.8395"
"3","0.8075","0.8075","0.8075","1.0139","1.0139","1.0139","0.7155","0.7155","0.7155","0.3952","0.3952","0.3952","0.367","0.367","0.367","0.3859","0.3859","0.3859","0.3466","0.3466","0.3466","0.7495","0.7495","0.7495","0.7559","0.7559","0.7559","0.8175","0.8175","0.8175"
"4","0.7902","0.7902","0.7902","1.0209","1.0209","1.0209","0.721","0.721","0.721","0.3859","0.3859","0.3859","0.3625","0.3625","0.3625","0.3756","0.3756","0.3756","0.3413","0.3413","0.3413","0.7379","0.7379","0.7379","0.7261","0.7261","0.7261","0.8098","0.8098","0.8098"
"5","0.7778","0.7778","0.7778","1.0136","1.0136","1.0136","0.7136","0.7136","0.7136","","","","","","","","","","","","","0.703","0.703","0.703","0.6797","0.6797","0.6797","0.7789","0.7789","0.7789"
"6","0.7723","0.7723","0.7723","1.0323","1.0323","1.0323","0.744","0.744","0.744","","","","","","","","","","","","","0.6813","0.6813","0.6813","0.6524","0.6524","0.6524","0.7605","0.7605","0.7605"
"7","0.7623","0.7623","0.7623","1.0303","1.0303","1.0303","0.7543","0.7543","0.7543","","","","","","","","","","","","","0.6929","0.6929","0.6929","0.6586","0.6586","0.6586","0.7727","0.7727","0.7727"
"8","0.7568","0.7568","0.7568","0.94","0.94","0.94","0.7005","0.7005","0.7005","","","","","","","","","","","","","0.6708","0.6708","0.6708","0.6248","0.6248","0.6248","0.7446","0.7446","0.7446"
"9","0.7495","0.7495","0.7495","0.9215","0.9215","0.9215","0.7044","0.7044","0.7044","","","","","","","","","","","","","0.6553","0.6553","0.6553","0.6103","0.6103","0.6103","0.7316","0.7316","0.7316"
"10","0.7504","0.7504","0.7504","0.8859","0.8859","0.8859","0.6855","0.6855","0.6855","","","","","","","","","","","","","0.6554","0.6554","0.6554","0.609","0.609","0.609","0.7395","0.7395","0.7395"
"11","","","","0.8614","0.8614","0.8614","0.6717","0.6717","0.6717","","","","","","","","","","","","","0.634","0.634","0.634","0.5905","0.5905","0.5905","0.7186","0.7186","0.7186"
"12","","","","0.8917","0.8917","0.8917","0.697","0.697","0.697","","","","","","","","","","","","","0.6364","0.6364","0.6364","0.5914","0.5914","0.5914","0.7239","0.7239","0.7239"
"13","","","","0.8829","0.8829","0.8829","0.6951","0.6951","0.6951","","","","","","","","","","","","","0.6282","0.6282","0.6282","0.5841","0.5841","0.5841","0.7147","0.7147","0.7147"
"14","","","","0.8276","0.8276","0.8276","0.6548","0.6548","0.6548","","","","","","","","","","","","","0.6169","0.6169","0.6169","0.5731","0.5731","0.5731","0.7075","0.7075","0.7075"
"15","","","","0.8723","0.8723","0.8723","0.6878","0.6878","0.6878","","","","","","","","","","","","","0.6072","0.6072","0.6072","0.5645","0.5645","0.5645","0.6968","0.6968","0.6968"
"16","","","","0.8446","0.8446","0.8446","0.6705","0.6705","0.6705","","","","","","","","","","","","","0.6049","0.6049","0.6049","0.5615","0.5615","0.5615","0.6969","0.6969","0.6969"
"17","","","","0.8231","0.8231","0.8231","0.6589","0.6589","0.6589","","","","","","","","","","","","","0.6064","0.6064","0.6064","0.5629","0.5629","0.5629","0.6993","0.6993","0.6993"
"18","","","","0.8254","0.8254","0.8254","0.6593","0.6593","0.6593","","","","","","","","","","","","","0.6014","0.6014","0.6014","0.556","0.556","0.556","0.6944","0.6944","0.6944"
"19","","","","0.8308","0.8308","0.8308","0.6656","0.6656","0.6656","","","","","","","","","","","","","0.5985","0.5985","0.5985","0.5543","0.5543","0.5543","0.6919","0.6919","0.6919"
"20","","","","0.8463","0.8463","0.8463","0.6802","0.6802","0.6802","","","","","","","","","","","","","0.5955","0.5955","0.5955","0.5522","0.5522","0.5522","0.6918","0.6918","0.6918"
"21","","","","0.8227","0.8227","0.8227","0.6629","0.6629","0.6629","","","","","","","","","","","","","0.5882","0.5882","0.5882","0.5442","0.5442","0.5442","0.682","0.682","0.682"
